entry_date,exit_date,entry,exit,qty,reason,pnl,symbol,strategy
2022-01-10,2022-01-24,17913.3,17446.23,21,Stop loss,-10551.09,NIFTY 50,ema_crossover
2022-04-04,2022-04-18,17809.1,17224.94,16,Stop loss,-9907.07,NIFTY 50,ema_crossover
2022-07-26,2022-08-04,16632.9,17427.31,24,Target,18248.5,NIFTY 50,ema_crossover
2022-10-19,2022-11-24,17568.15,18512.03,21,Target,19063.88,NIFTY 50,ema_crossover
2023-04-26,2023-05-11,17767.3,18378.04,33,Target,18961.72,NIFTY 50,ema_crossover
2023-11-21,2023-12-04,19770.9,20389.65,33,Target,19093.47,NIFTY 50,ema_crossover
2025-04-22,2025-06-27,24185.4,25573.44,15,Target,20074.18,NIFTY 50,ema_crossover
2025-09-15,2025-09-26,25118.9,24761.27,30,Stop loss,-12225.35,NIFTY 50,ema_crossover
2026-07-03,2026-07-08,24375.65,23879.02,21,Stop loss,-11442.64,NIFTY 50,ema_crossover
2022-01-14,2022-01-24,38301.91,37040.05,7,Stop loss,-9360.42,BANK NIFTY,ema_crossover
2022-04-08,2022-04-19,37619.26,35976.01,6,Stop loss,-10301.08,BANK NIFTY,ema_crossover
2022-07-21,2022-08-08,36026.13,38233.67,8,Target,17066.27,BANK NIFTY,ema_crossover
2023-04-19,2023-05-29,42280.1,44401.24,9,Target,18310.07,BANK NIFTY,ema_crossover
2023-09-08,2023-10-04,44953.65,44037.96,11,Stop loss,-11051.44,BANK NIFTY,ema_crossover
2023-12-05,2024-01-18,46895.9,45829.85,9,Stop loss,-10428.98,BANK NIFTY,ema_crossover
2024-02-22,2024-04-30,46934.55,49857.65,6,Target,16957.87,BANK NIFTY,ema_crossover
2024-08-26,2024-09-20,51100.65,53565.41,8,Target,18880.73,BANK NIFTY,ema_crossover
2024-10-30,2024-11-01,51988.7,51550.15,6,Exit signal,-3252.54,BANK NIFTY,ema_crossover
2024-11-06,2024-11-13,52440.4,50978.93,7,Stop loss,-10954.23,BANK NIFTY,ema_crossover
2024-12-03,2024-12-20,52357.95,50909.32,7,Stop loss,-10863.26,BANK NIFTY,ema_crossover
2025-03-27,2025-04-07,51084.7,49806.95,7,Stop loss,-9650.47,BANK NIFTY,ema_crossover
2025-10-09,2025-10-20,55979.0,57877.53,10,Target,17846.76,BANK NIFTY,ema_crossover
2026-06-18,2026-07-15,57596.45,57691.6,6,End of backtest,-120.81,BANK NIFTY,ema_crossover
2022-01-14,2022-01-24,1148.15,1102.47,218,Stop loss,-10448.95,RELIANCE,ema_crossover
2022-03-23,2022-04-21,1142.71,1258.96,170,Target,19354.32,RELIANCE,ema_crossover
2022-08-12,2022-09-23,1173.19,1129.17,201,Exit signal,-9310.77,RELIANCE,ema_crossover
2022-11-07,2023-01-05,1177.34,1146.67,216,Exit signal,-7127.11,RELIANCE,ema_crossover
2023-05-03,2023-07-03,1111.0,1178.11,295,Target,19123.21,RELIANCE,ema_crossover
2023-11-30,2023-12-15,1183.08,1234.92,390,Target,19273.08,RELIANCE,ema_crossover
2024-05-27,2024-05-30,1462.59,1412.52,205,Stop loss,-10852.27,RELIANCE,ema_crossover
2024-06-10,2024-08-09,1452.43,1442.6,140,Exit signal,-1781.68,RELIANCE,ema_crossover
2024-08-30,2024-09-06,1520.87,1472.93,212,Stop loss,-10797.78,RELIANCE,ema_crossover
2025-03-26,2025-04-02,1279.95,1235.21,225,Stop loss,-10631.31,RELIANCE,ema_crossover
2025-04-23,2025-04-30,1285.9,1399.66,175,Target,19439.66,RELIANCE,ema_crossover
2025-10-23,2025-11-26,1468.21,1554.19,236,Target,19577.47,RELIANCE,ema_crossover
2026-05-07,2026-05-12,1432.18,1370.14,166,Stop loss,-10763.74,RELIANCE,ema_crossover
2022-04-04,2022-04-18,3280.07,3166.93,88,Stop loss,-10523.06,TCS,ema_crossover
2022-08-12,2022-08-23,3009.01,2898.91,89,Stop loss,-10325.07,TCS,ema_crossover
2022-11-03,2022-12-01,2848.31,3035.75,104,Target,18881.41,TCS,ema_crossover
2023-05-25,2023-06-16,2972.57,2887.2,116,Stop loss,-10582.53,TCS,ema_crossover
2023-06-22,2023-06-26,2963.77,2885.73,126,Stop loss,-10570.06,TCS,ema_crossover
2023-07-03,2023-07-14,3013.13,3179.0,117,Target,18682.75,TCS,ema_crossover
2023-11-24,2023-12-12,3193.23,3378.31,107,Target,19100.15,TCS,ema_crossover
